Account_ID ,CODE ,Implemented Date ,Active Indicator ,Account Type ,Service ,BU,Request Date ,Account status ,Status Code ,$ Amount ,Version ,Agent ID ,FIBRE ,last Updated Date ,Property TYPE ,Post Code ,,
15368,543,7/09/2017 0:00,1,B2B,ELE,NUOS,17/08/2017 0:00,PAID,8,3.94,v1_0,307508,EN121794032-N-5,7/09/2017 11:09,RESI,2587,,
23232,543,7/09/2017 0:00,1,B2B,ELE,NUOS,10/08/2017 0:00,PAID,7,126.96,v1_0,307508,EN121542407-N-12,7/09/2017 11:04,RESI,2587,,
232323,543,7/09/2017 0:00,1,B2B,ELE,NUOS,9/08/2017 0:00,PAID,6,15.43,v1_0,307508,EN121491293-N-9,7/09/2017 11:05,RESI,2587,,
307263,543,7/09/2017 0:00,1,B2B,ELE,NUOS,9/08/2017 0:00,PAID,6,3.49,v1_0,307508,EN121491293-N-13,7/09/2017 11:05,RESI,2587,,
415740,105,5/09/2017 0:00,1,B2B,ELE,NUOS,4/09/2017 0:00,PAID,8,3.31,v1_0,307312,EA983_54004586547-N-11,11/09/2017 10:44,RESI,2581,,
524218,105,5/09/2017 0:00,1,B2B,ELE,NUOS,4/09/2017 0:00,PAID,7,1.01,v1_0,307312,EA983_146001477792-N-3,11/09/2017 10:45,RESI,2581,,
632695,105,5/09/2017 0:00,1,B2B,ELE,NUOS,4/09/2017 0:00,PAID,3,0.09,v1_0,307312,EA983_50004634622-N-13,11/09/2017 9:27,RESI,2581,,
741173,64,6/09/2017 0:00,1,B2B,GAS,DUOSV,5/09/2017 0:00,PAID,3,113.32,v1_0,307375,2.67E+14,3/10/2017 13:02,RESI,2584,,
849650,64,6/09/2017 0:00,1,B2B,GAS,DUOSV,5/09/2017 0:00,PAID,4,106.17,v1_0,307375,2.67E+14,3/10/2017 12:55,RESI,2584,,
958128,64,6/09/2017 0:00,1,B2B,GAS,DUOSV,5/09/2017 0:00,PAID,5,118.9,v1_0,307375,2.67E+14,3/10/2017 13:02,RESI,2584,,
